citesteAfectiuni,2021-04-26 at 23:09:32 EEST
adaugaAfectiune,2021-04-26 at 23:09:32 EEST
adaugaAfectiune,2021-04-26 at 23:09:32 EEST
adaugaAfectiune,2021-04-26 at 23:09:32 EEST
adaugaAfectiune,2021-04-26 at 23:09:32 EEST
adaugaAfectiune,2021-04-26 at 23:09:32 EEST
citesteMedici,2021-04-26 at 23:09:32 EEST
adaugaMedic,2021-04-26 at 23:09:32 EEST
adaugaMedic,2021-04-26 at 23:09:32 EEST
adaugaMedic,2021-04-26 at 23:09:32 EEST
adaugaMedic,2021-04-26 at 23:09:32 EEST
adaugaMedic,2021-04-26 at 23:09:32 EEST
citestePacienti,2021-04-26 at 23:09:32 EEST
adaugaPacient,2021-04-26 at 23:09:32 EEST
adaugaPacient,2021-04-26 at 23:09:32 EEST
adaugaPacient,2021-04-26 at 23:09:32 EEST
adaugaPacient,2021-04-26 at 23:09:32 EEST
adaugaPacient,2021-04-26 at 23:09:32 EEST
citesteTratamente,2021-04-26 at 23:09:32 EEST
adaugaTratament,2021-04-26 at 23:09:32 EEST
adaugaTratament,2021-04-26 at 23:09:32 EEST
adaugaTratament,2021-04-26 at 23:09:32 EEST
adaugaTratament,2021-04-26 at 23:09:32 EEST
adaugaTratament,2021-04-26 at 23:09:32 EEST
citesteAfectiuni,2021-05-19 at 15:25:55 EEST
adaugaAfectiune,2021-05-19 at 15:25:55 EEST
adaugaAfectiune,2021-05-19 at 15:25:55 EEST
adaugaAfectiune,2021-05-19 at 15:25:55 EEST
adaugaAfectiune,2021-05-19 at 15:25:55 EEST
adaugaAfectiune,2021-05-19 at 15:25:55 EEST
citesteMedici,2021-05-19 at 15:25:55 EEST
adaugaMedic,2021-05-19 at 15:25:55 EEST
adaugaMedic,2021-05-19 at 15:25:55 EEST
adaugaMedic,2021-05-19 at 15:25:55 EEST
adaugaMedic,2021-05-19 at 15:25:55 EEST
adaugaMedic,2021-05-19 at 15:25:55 EEST
citestePacienti,2021-05-19 at 15:25:55 EEST
adaugaPacient,2021-05-19 at 15:25:55 EEST
adaugaPacient,2021-05-19 at 15:25:55 EEST
adaugaPacient,2021-05-19 at 15:25:55 EEST
adaugaPacient,2021-05-19 at 15:25:55 EEST
adaugaPacient,2021-05-19 at 15:25:55 EEST
citesteTratamente,2021-05-19 at 15:25:55 EEST
adaugaTratament,2021-05-19 at 15:25:55 EEST
adaugaTratament,2021-05-19 at 15:25:55 EEST
adaugaTratament,2021-05-19 at 15:25:55 EEST
adaugaTratament,2021-05-19 at 15:25:55 EEST
adaugaTratament,2021-05-19 at 15:25:55 EEST
citesteAfectiuni,2021-05-19 at 15:26:34 EEST
adaugaAfectiune,2021-05-19 at 15:26:34 EEST
adaugaAfectiune,2021-05-19 at 15:26:34 EEST
adaugaAfectiune,2021-05-19 at 15:26:34 EEST
adaugaAfectiune,2021-05-19 at 15:26:34 EEST
adaugaAfectiune,2021-05-19 at 15:26:34 EEST
citesteMedici,2021-05-19 at 15:26:34 EEST
adaugaMedic,2021-05-19 at 15:26:34 EEST
adaugaMedic,2021-05-19 at 15:26:34 EEST
adaugaMedic,2021-05-19 at 15:26:34 EEST
adaugaMedic,2021-05-19 at 15:26:34 EEST
adaugaMedic,2021-05-19 at 15:26:34 EEST
citestePacienti,2021-05-19 at 15:26:34 EEST
adaugaPacient,2021-05-19 at 15:26:34 EEST
adaugaPacient,2021-05-19 at 15:26:34 EEST
adaugaPacient,2021-05-19 at 15:26:34 EEST
adaugaPacient,2021-05-19 at 15:26:34 EEST
adaugaPacient,2021-05-19 at 15:26:34 EEST
citesteTratamente,2021-05-19 at 15:26:34 EEST
adaugaTratament,2021-05-19 at 15:26:34 EEST
adaugaTratament,2021-05-19 at 15:26:34 EEST
adaugaTratament,2021-05-19 at 15:26:34 EEST
adaugaTratament,2021-05-19 at 15:26:34 EEST
adaugaTratament,2021-05-19 at 15:26:34 EEST
dbAfiseazaAfectiuni,2021-05-20 at 12:22:59 EEST
dbAfiseazaMedici,2021-05-20 at 12:22:59 EEST
dbAfiseazaPacienti,2021-05-20 at 12:22:59 EEST
dbAfiseazaTratamente,2021-05-20 at 12:22:59 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:04:22 EEST
dbAfiseazaMedici,2021-05-21 at 12:04:22 EEST
dbAfiseazaPacienti,2021-05-21 at 12:04:22 EEST
dbAfiseazaTratamente,2021-05-21 at 12:04:22 EEST
dbActualizeazaAfectiuneById,2021-05-21 at 12:04:22 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:04:22 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:05:08 EEST
dbAfiseazaMedici,2021-05-21 at 12:05:08 EEST
dbAfiseazaPacienti,2021-05-21 at 12:05:08 EEST
dbAfiseazaTratamente,2021-05-21 at 12:05:08 EEST
dbActualizeazaAfectiuneById,2021-05-21 at 12:05:08 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:05:08 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:05:21 EEST
dbAfiseazaMedici,2021-05-21 at 12:05:21 EEST
dbAfiseazaPacienti,2021-05-21 at 12:05:21 EEST
dbAfiseazaTratamente,2021-05-21 at 12:05:21 EEST
dbActualizeazaAfectiuneById,2021-05-21 at 12:05:21 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:05:21 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:27 EEST
dbAfiseazaMedici,2021-05-21 at 12:09:27 EEST
dbAfiseazaPacienti,2021-05-21 at 12:09:27 EEST
dbAfiseazaTratamente,2021-05-21 at 12:09:27 EEST
dbActualizeazaAfectiuneById,2021-05-21 at 12:09:27 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:27 EEST
adaugaAfectiune,2021-05-21 at 12:09:27 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:27 EEST
dbStergeAfectiuneById,2021-05-21 at 12:09:27 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:27 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:47 EEST
dbAfiseazaMedici,2021-05-21 at 12:09:47 EEST
dbAfiseazaPacienti,2021-05-21 at 12:09:47 EEST
dbAfiseazaTratamente,2021-05-21 at 12:09:47 EEST
dbActualizeazaAfectiuneById,2021-05-21 at 12:09:47 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:47 EEST
adaugaAfectiune,2021-05-21 at 12:09:47 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:47 EEST
dbStergeAfectiuneById,2021-05-21 at 12:09:47 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:09:47 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:10:31 EEST
dbAfiseazaMedici,2021-05-21 at 12:10:31 EEST
dbAfiseazaPacienti,2021-05-21 at 12:10:31 EEST
dbAfiseazaTratamente,2021-05-21 at 12:10:31 EEST
dbStergeAfectiuneById,2021-05-21 at 12:10:31 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:10:31 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:18:12 EEST
dbAfiseazaMedici,2021-05-21 at 12:18:12 EEST
dbAfiseazaPacienti,2021-05-21 at 12:18:12 EEST
dbAfiseazaTratamente,2021-05-21 at 12:18:12 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:18:53 EEST
dbAfiseazaMedici,2021-05-21 at 12:18:53 EEST
dbAfiseazaPacienti,2021-05-21 at 12:18:53 EEST
dbAfiseazaTratamente,2021-05-21 at 12:18:53 EEST
dbStergeAfectiuneById,2021-05-21 at 12:18:53 EEST
dbStergeMedicById,2021-05-21 at 12:18:53 EEST
dbStergePacientById,2021-05-21 at 12:18:53 EEST
dbStergeTratamentById,2021-05-21 at 12:18:53 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:18:53 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:19:24 EEST
dbAfiseazaMedici,2021-05-21 at 12:19:24 EEST
dbAfiseazaPacienti,2021-05-21 at 12:19:24 EEST
dbAfiseazaTratamente,2021-05-21 at 12:19:24 EEST
dbAfiseazaAfectiuni,2021-05-21 at 12:19:24 EEST
dbAfiseazaMedici,2021-05-21 at 12:19:24 EEST
dbAfiseazaPacienti,2021-05-21 at 12:19:24 EEST
dbAfiseazaTratamente,2021-05-21 at 12:19:24 EEST
